0001|The birch canoe slid on the smooth planks.
0002|Glue the sheet to the dark blue background.
0003|It's easy to tell the depth of a well.
0004|These days a chicken leg is a rare dish.
0005|Rice is often served in round bowls.
0006|The juice of lemons makes fine punch.
0007|The box was thrown beside the parked truck.
0008|The hog crawled under the high fence.
0009|Move the glass of water to the stool.
0010|The calf joined the herd on the green plain.
0011|The boy was there when the sun rose.
0012|A soft toss landed the ball in the nest.
0013|A king ruled the state in the early days.
0014|The baby cried for the tin squeeze toy.
0015|The sink is the proper place to wash dishes.
0016|The soft cushion broke the man's fall.
0017|The Spot on the rug was cleaned with soap.
0018|The sharp knife cut through the thick meat.
0019|A Desk is a good place to keep your papers.
0020|The red coat hung in the back closet.
0021|The glad child sang a happy song.
0022|The sun beat down on the parched field.
0023|A small oak tree stood by the fence.
0024|The quick brown fox jumps over the lazy dog.
0025|The wind blew hard across the wide open lake.
0026|The old bell rang out from the high tower.
0027|The heavy iron door slammed shut with a bang.
0028|A clean towel hung on the wooden rack.
0029|The tall grass swayed gently in the breeze.
0030|The dark cloud moved slowly across the sky.
0031|The sheep grazed on the rolling green hills.
0032|A bright star shone in the clear night sky.
0033|The train whistled as it entered the long tunnel.
0034|The river flowed quietly through the peaceful valley.
0035|A cold shower refreshes the body on a hot day.
0036|The cat stretched lazily on the warm windowsill.
0037|The grandfather clock chimed twelve times at midnight.
0038|A flock of birds flew southward for the winter.
0039|The fresh snow covered the ground like a white blanket.
0040|The farmer harvested his crops before the first frost.
0041|The lighthouse beam guided the ship through the dark sea.
0042|A strong cup of coffee helps wake you up in the morning.
0043|The child built a massive sandcastle on the sandy shore.
0044|The sound of thunder echoed through the deep canyon.
0045|A gentle rain fell on the garden flowers all morning.
0046|The baker prepared fresh loaves of bread early today.
0047|The airplane climbed high above the thick white clouds.
0048|A colorful butterfly landed softly on the blooming rose.
0049|The mechanic fixed the broken engine in less than an hour.
0050|The orchestra played a beautiful symphony for the audience.
0051|The hiker reached the top of the mountain before sunset.
0052|A sweet smell of apple pie filled the cozy kitchen.
0053|The fisherman cast his line into the calm blue water.
0054|The library was quiet as students studied for their exams.
0055|A full moon illuminated the path through the dense forest.
0056|The painter carefully brushed color onto the canvas.
0057|The horse galloped across the open field with high energy.
0058|A warm fire crackled cheerfully in the stone fireplace.
0059|The gardener planted fresh seeds in the rich dark soil.
0060|The street lamp flickered twice before turning on fully.
0061|Add the sum to the product of these three.
0062|A blue satin bag bowed with a ribbon.
0063|The team sleeked the floor with a heavy wax.
0064|Oak is strong and also gives good mahogany shade.
0065|Cats and dogs seldom get along well together.
0066|The pipe began to rust the clear stream water.
0067|Pack the red case with many warm warm clothes.
0068|The bark of the tree was rough to the touch.
0069|A cool breeze came off the sea each evening.
0070|The small boat bobbed up and down on the waves.
0071|The sun dipped below the distant ocean horizon.
0072|A flock of wild geese flew high in a V formation.
0073|The artist painted a scenic view of the autumn hills.
0074|The teacher explained the lesson clearly to the class.
0075|A silver tray held glasses of fresh orange juice.
0076|The runner crossed the finish line in record time.
0077|The wooden floor creaked under the weight of the boots.
0078|A sudden gust of wind blew leaves across the yard.
0079|The clock on the wall ticked steadily throughout the night.
0080|The young girl read her favorite book under the tree.
0081|The old oak tree provided shade on hot summer days.
0082|A pair of robins built a nest in the apple tree.
0083|The steam rose rapidly from the pot of boiling soup.
0084|The bridge connected the two towns across the wide river.
0085|A bright yellow flower grew through the crack in the stone.
0086|The children played tag in the park until sunset.
0087|The cabin in the woods was quiet and secluded.
0088|A light frost covered the grass early in the morning.
0089|The musician played a calm tune on his acoustic guitar.
0090|The postman delivered letters to every house on the street.
0091|The waves crashed rhythmically against the rocky cliffs.
0092|A fresh pot of tea was served on the patio table.
0093|The owl hooted softly from high up in the pine tree.
0094|The carpenter built a sturdy table out of solid oak.
0095|A rainbow appeared in the sky after the rain stopped.
0096|The campfire cast warm glowing shadows on the tents.
0097|The morning fog lifted slowly over the quiet valley.
0098|A bright red cardinal perched on the wooden bird feeder.
0099|The store owner opened the shop early every weekday.
0100|The icy road required drivers to travel very slowly.
0101|The map was placed near the table for safekeeping.
0102|A quick key can change the outcome of the entire window.
0103|She found a small lamp resting beside the old wall.
0104|The sound of book echoed across the wide drawer.
0105|Keep the ring away from the hot corner at all times.
0106|Every stone in the building was inspected yesterday morning.
0107|He brought a fresh box to share with the entire yard.
0108|The old coin had a distinct pattern of dark shelf.
0109|A single card can make a big difference in the bench.
0110|They walked along the pen while listening to the floor.
0111|The clock was placed near the counter for safekeeping.
0112|A quick bell can change the outcome of the entire porch.
0113|She found a small tool resting beside the old garden.
0114|The sound of rope echoed across the wide shed.
0115|Keep the glass away from the hot door at all times.
0116|Every wheel in the building was inspected yesterday morning.
0117|He brought a fresh plate to share with the entire cabinet.
0118|The old brush had a distinct pattern of dark ledge.
0119|A single coat can make a big difference in the hallway.
0120|They walked along the hat while listening to the path.
0121|The map was placed near the table for safekeeping.
0122|A quick key can change the outcome of the entire window.
0123|She found a small lamp resting beside the old wall.
0124|The sound of book echoed across the wide drawer.
0125|Keep the ring away from the hot corner at all times.
0126|Every stone in the building was inspected yesterday morning.
0127|He brought a fresh box to share with the entire yard.
0128|The old coin had a distinct pattern of dark shelf.
0129|A single card can make a big difference in the bench.
0130|They walked along the pen while listening to the floor.
0131|The clock was placed near the counter for safekeeping.
0132|A quick bell can change the outcome of the entire porch.
0133|She found a small tool resting beside the old garden.
0134|The sound of rope echoed across the wide shed.
0135|Keep the glass away from the hot door at all times.
0136|Every wheel in the building was inspected yesterday morning.
0137|He brought a fresh plate to share with the entire cabinet.
0138|The old brush had a distinct pattern of dark ledge.
0139|A single coat can make a big difference in the hallway.
0140|They walked along the hat while listening to the path.
0141|The map was placed near the table for safekeeping.
0142|A quick key can change the outcome of the entire window.
0143|She found a small lamp resting beside the old wall.
0144|The sound of book echoed across the wide drawer.
0145|Keep the ring away from the hot corner at all times.
0146|Every stone in the building was inspected yesterday morning.
0147|He brought a fresh box to share with the entire yard.
0148|The old coin had a distinct pattern of dark shelf.
0149|A single card can make a big difference in the bench.
0150|They walked along the pen while listening to the floor.
0151|The clock was placed near the counter for safekeeping.
0152|A quick bell can change the outcome of the entire porch.
0153|She found a small tool resting beside the old garden.
0154|The sound of rope echoed across the wide shed.
0155|Keep the glass away from the hot door at all times.
0156|Every wheel in the building was inspected yesterday morning.
0157|He brought a fresh plate to share with the entire cabinet.
0158|The old brush had a distinct pattern of dark ledge.
0159|A single coat can make a big difference in the hallway.
0160|They walked along the hat while listening to the path.
0161|The map was placed near the table for safekeeping.
0162|A quick key can change the outcome of the entire window.
0163|She found a small lamp resting beside the old wall.
0164|The sound of book echoed across the wide drawer.
0165|Keep the ring away from the hot corner at all times.
0166|Every stone in the building was inspected yesterday morning.
0167|The steep mountain path tested the endurance of all.
0168|A tiny robin searched for worms on the damp soil.
0169|The calm waters of the lake reflected the tall pines.
0170|A warm fire burned brightly in the cozy living room.
0171|The clear night sky was filled with thousands of stars.
0172|A small wooden bench sat beneath the shady willow.
0173|The gentle roar of the ocean relaxed everyone nearby.
0174|A bright flash of red caught her eye in the green bushes.
0175|The old church bell tolled three times for midday.
0176|A cool breeze stirred the leaves of the aspen tree.
0177|The high mountain peak was capped with white snow.
0178|A quiet morning walk was his favorite way to start.
0179|The deep forest floor was covered in soft green moss.
0180|A small brook gurgled merrily over rounded stones.
0181|The sun broke through the clouds after the morning rain.
0182|A heavy wooden chest sat in the corner of the room.
0183|The soft call of a dove came from the high branches.
0184|A bright green lawn surrounded the charming cottage.
0185|The old stone fireplace warmed the entire main cabin.
0186|A cool autumn morning brought crisp air and blue sky.
0187|The calm surface of the pond was still as glass.
0188|A small flock of sheep grazed peacefully on the ridge.
0189|The tall pine forest smelled of pitch and fresh needle.
0190|A warm summer breeze carried the sound of distant waves.
0191|The bright moonlight lit up the entire open field.
0192|A quiet village rested at the base of the mountain.
0193|The smooth marble floor was cold under barefoot.
0194|A small wooden cabin offered shelter from the storm.
0195|The gentle rustle of leaves filled the quiet forest.
0196|A cool mountain stream provided fresh clean drinking water.
0197|The deep valley was filled with thick morning fog.
0198|A bright red sunrise promised a beautiful clear day.
0199|The old iron bridge stretched across the wide river.
0200|A soft warm blanket was wrapped around her shoulders.
0201|The tall oak tree cast a long shadow at sunset.
0202|A small bird built its nest in the rose bush.
0203|The clear blue lake reflected the surrounding mountain peaks.
0204|A quiet evening was spent reading by the fireplace.
0205|The heavy oak door was secured with a deadbolt lock.
0206|A cool spring breeze carried the scent of pine.
0207|The high stone wall protected the ancient castle court.
0208|A tiny stream flowed into the larger river downstream.
0209|The calm sea made for a pleasant boat journey.
0210|A warm cup of cocoa hit the spot after sledding.
0211|The morning sun warmed the cool air quickly today.
0212|A small wooden boat rested on the sandy shoreline.
0213|The bright stars shone brightly against the dark night.
0214|A quiet park provided a peaceful respite from noise.
0215|The old clock chimed softly in the hallway corner.
0216|A cool mountain breeze refreshed the tired climbers.
0217|The deep blue sky held not a single cloud.
0218|A tiny chipmunk scurried across the stone walkway.
0219|The calm water of the bay was perfect for kayaking.
0220|A warm summer evening was enjoyed out on the deck.
0221|The tall pine tree towered above all the rest.
0222|A small dog barked happily at the passing mail truck.
0223|The clear spring water tasted fresh and pure.
0224|A quiet moment of rest restored his energy levels.
0225|The heavy iron gates swung open with a groan.
0226|A cool autumn wind blew dry leaves down the road.
0227|The high cliff overlooked the crashing ocean surf.
0228|A small garden flower bloomed under the morning sun.
0229|The calm lake surface reflected the distant ridge.
0230|A warm cup of coffee started the long day right.
0231|The bright yellow sun rose above the ocean horizon.
0232|A quiet path wound through the dense green woods.
0233|The smooth river stones were slick with algae.
0234|A small campfire gave off warmth and light.
0235|The old wooden barn stood tall against the sky.
0236|A cool breeze swept over the open grassy meadow.
0237|The deep canyon was carved by time and water.
0238|A tiny hummingbird hovered near the bright flower.
0239|The calm evening air was broken only by crickets.
0240|A warm fleece jacket kept out the winter chill.
0241|The morning fog cleared to reveal a sunny day.
0242|A small wooden table stood in the breakfast nook.
0243|The bright blue ocean stretched to the distant skyline.
0244|A quiet walk along the beach cleared his thoughts.
0245|The old stone church tower chimed on the hour.
0246|A cool summer rain washed the dust from the air.
0247|The high mountain pass was clear of ice today.
0248|A small yellow canary sang a cheerful song.
0249|The calm waters made for an easy river crossing.
0250|A warm bowl of soup hit the spot on a rainy day.
0251|The tall timber trees supplied wood for the house.
0252|A small gray squirrel hid nuts in the garden.
0253|The clear night air made star gazing exceptionally good.
0254|A quiet stream flowed through the peaceful meadow.
0255|The heavy wooden door shut tightly against cold.
0256|A cool breeze stirred the curtains in the bedroom.
0257|The high cliff offered panoramic views of the coast.
0258|A tiny green frog sat on the lily pad.
0259|The calm morning surface of the pond was motionless.
0260|A warm blanket and good book made for comfort.
